Pillar,Is Pillar?,Main Keyword,Secondary Keywords,Tentative Title,Content Focus,SEO Intent Type,TOFU/MOFU Level,Category,Suggested Internal Links,Hero Image URL,Supporting Notes
Money Management,Yes,money management,"personal finance basics, manage finances, financial planning for beginners",Money Management: The Complete Beginner's Guide,"Complete beginner's guide on how to manage money. Includes the importance of money management, common mistakes, first steps, and links to specific topics such as budgeting, saving, apps, expense tracking, and more. This article should serve as a cornerstone and link to all related cluster articles.",Informational,TOFU,guide,"/personal-finance/creating-a-budget-youll-actually-stick-to, /personal-finance/how-to-track-your-expenses, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/money-management-guide.webp,Pillar article linking to all Money Management cluster content. Reference CFPB money management resources.
Money Management,No,budgeting apps,"best budget apps, budget tracker apps, free budgeting apps",Top Budgeting Apps to Manage Your Money in 2026,Comparison of specialized apps for budget creation and tracking. Ideal for beginners looking to control expenses and build healthy financial habits.,Comparational,MOFU,guide,"/personal-finance/money-management-for-beginners, /personal-finance/how-to-track-your-expenses, /personal-finance/creating-a-budget-youll-actually-stick-to",https://media.topfinanzas.com/images/kardtrust/budgeting-apps.webp,Compare top apps: Mint, YNAB, PocketGuard, Goodbudget. Include free vs paid options.
Money Management,No,how to create a budget,"budgeting for beginners, budget planning, simple budget guide",How to Create a Budget (Even if You're Bad with Money),Step-by-step guide for creating a personal budget from scratch. Includes simple methods like 50/30/20 rule and zero-based budgeting tips for beginners.,Informational,TOFU,guide,"/personal-finance/creating-a-budget-youll-actually-stick-to, /personal-finance/stop-living-paycheck-to-paycheck, /personal-finance/how-to-track-your-expenses",https://media.topfinanzas.com/images/kardtrust/create-budget.webp,Reference existing article for linking. Emphasize practical first steps.
Money Management,No,how to save money fast,"quick savings tips, money saving hacks, save money on low income",How to Save Money Fast: 10 Hacks That Actually Work,Practical and quick tips to save money in a short time. Focused on people with limited income seeking immediate results without drastic lifestyle changes.,Informational,TOFU,guide,"/personal-finance/stop-living-paycheck-to-paycheck, /personal-finance/ditching-impulse-buys-mindful-spending, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/save-money-fast.webp,Include actionable tips: automating savings, cutting subscriptions, cash envelope method.
Money Management,No,money management apps,"finance apps, personal finance apps, best money apps",Best Money Management Apps to Simplify Your Finances,"Most comprehensive apps that help manage personal finances: budgeting, savings goals, expense tracking, investment monitoring, and debt payoff tracking.",Comparational,MOFU,guide,"/personal-finance/money-management-for-beginners, /personal-finance/automate-your-wealth, /personal-finance/how-to-track-your-expenses",https://media.topfinanzas.com/images/kardtrust/money-management-apps.webp,Broader scope than budgeting apps. Include banking apps with budgeting features.
Money Management,No,personal finance tips,"finance tips, money tips 2026, financial advice beginners",10 Personal Finance Tips You Should Know by 2026,List of essential tips to improve personal finances. Aimed at a general audience looking to start organizing their money with actionable everyday advice.,Informational,TOFU,guide,"/personal-finance/money-management-for-beginners, /personal-finance/setting-financial-goals, /personal-finance/what-is-financial-health",https://media.topfinanzas.com/images/kardtrust/personal-finance-tips.webp,Evergreen content updated for current year. Include emergency fund and credit score tips.
Money Management,No,money management tips,"daily money tips, financial tips, smart money habits",7 Practical Money Management Tips for Everyday Life,"Practical tips for everyday life: controlling expenses, managing income, and maintaining financial stability without complex systems.",Informational,TOFU,guide,"/personal-finance/ditching-impulse-buys-mindful-spending, /personal-finance/creating-a-budget-youll-actually-stick-to, /personal-finance/automate-your-wealth",https://media.topfinanzas.com/images/kardtrust/money-management-tips.webp,Focus on simplicity and daily habits. Avoid overlap with personal finance tips article.
Money Management,No,how to track expenses,"expense tracking, track spending, spending tracker",How to Track Your Expenses Without Going Crazy,Simple methods to keep track of your expenses. Ideal for those who want clarity on where their money is going without overwhelming spreadsheets.,Informational,TOFU,guide,"/personal-finance/how-to-track-your-expenses, /personal-finance/creating-a-budget-youll-actually-stick-to, /personal-finance/money-management-for-beginners",https://media.topfinanzas.com/images/kardtrust/track-expenses.webp,Existing article available. Consider updating or differentiating angle for new content.
Money Management,No,needs vs wants,"needs versus wants, spending decisions, smart spending",Needs vs. Wants: How to Make Better Spending Decisions,Clear explanation of the difference between needs and wants. A useful framework for making better spending decisions and prioritizing financial goals.,Informational,TOFU,guide,"/personal-finance/ditching-impulse-buys-mindful-spending, /personal-finance/psychology-of-spending, /personal-finance/creating-a-budget-youll-actually-stick-to",https://media.topfinanzas.com/images/kardtrust/needs-vs-wants.webp,Include practical examples and decision framework. Reference behavioral finance concepts.
Money Management,No,how to avoid debt,"debt prevention, stay debt free, avoid credit card debt",How to Avoid Debt and Still Live Well,Strategies to prevent debt without stopping enjoying life. Ideal for those seeking financial stability without extreme sacrifices or deprivation mindset.,Informational,TOFU,debt,"/personal-finance/getting-out-of-debt, /personal-finance/the-emotional-side-of-debt, /personal-finance/stop-living-paycheck-to-paycheck",https://media.topfinanzas.com/images/kardtrust/avoid-debt.webp,Preventive approach. Link to debt articles for those already in debt.
Money Management,No,best way to manage money,"money management system, organize finances, monthly budget system",The Best Way to Manage Your Money (And Actually Stick to It),Simple and effective method to manage your finances month by month. Aimed at people who want order without complications using proven systems.,Informational,TOFU,guide,"/personal-finance/money-management-for-beginners, /personal-finance/automate-your-wealth, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/manage-money-system.webp,Present a unified system approach. Mention automation and accountability strategies.
Credit Cards,Yes,credit cards,"best credit cards, credit card guide, credit card types",Credit Cards: The Ultimate Guide to Choosing and Using Wisely,"Comprehensive guide to credit cards: types (rewards, cashback, travel, secured), how to choose, responsible usage, building credit, and avoiding common pitfalls. Links to all credit card cluster articles.",Informational,TOFU,creditCards,"/personal-finance/credit-card-types-benefits, /personal-finance/understanding-credit-card-interest-rates, /personal-finance/best-rewards-credit-cards",https://media.topfinanzas.com/images/kardtrust/credit-cards-guide.webp,Pillar article. Reference CFPB credit card resources. Link to all credit card cluster content.
Credit Cards,No,best rewards credit cards,"top rewards cards, rewards credit cards 2026, points credit cards",Best Rewards Credit Cards: Maximize Every Purchase in 2026,Comparison of top rewards credit cards with analysis of point systems, earning rates, and redemption options for different spending profiles.,Comparational,MOFU,creditCards,"/personal-finance/best-rewards-credit-cards, /personal-finance/travel-credit-cards, /personal-finance/cashback-credit-cards",https://media.topfinanzas.com/images/kardtrust/rewards-credit-cards.webp,Existing article available. Differentiate with current year updates and new card offerings.
Credit Cards,No,cashback credit cards,"cash back cards, cashback rewards, best cashback cards",Best Cashback Credit Cards for Simple Everyday Savings,Guide to cashback credit cards with flat-rate vs category spending analysis and recommendations for different spending patterns.,Comparational,MOFU,creditCards,"/personal-finance/cashback-credit-cards, /personal-finance/no-annual-fee-credit-cards, /personal-finance/credit-card-types-benefits",https://media.topfinanzas.com/images/kardtrust/cashback-cards.webp,Existing article available. Consider angle focusing on simplicity vs optimization.
Credit Cards,No,travel credit cards,"best travel cards, airline credit cards, travel rewards",Travel Credit Cards: Earn Points While You Explore,Comprehensive guide to travel credit cards covering airline cards, hotel cards, and flexible point programs with tips for maximizing travel rewards.,Comparational,MOFU,creditCards,"/personal-finance/travel-credit-cards, /personal-finance/best-rewards-credit-cards, /credit-card-recommender-p1",https://media.topfinanzas.com/images/kardtrust/travel-credit-cards.webp,Existing article available. Include transfer partner analysis and redemption strategies.
Credit Cards,No,0 APR credit cards,"zero interest credit cards, intro APR cards, balance transfer cards",Top Credit Cards with 0% Intro APR for Big Purchases,Guide to 0% intro APR credit cards for financing large purchases or consolidating debt with comparison of offer lengths and terms.,Comparational,MOFU,creditCards,"/personal-finance/top-credit-cards-0-intro-apr, /personal-finance/understanding-credit-card-interest-rates, /personal-finance/getting-out-of-debt",https://media.topfinanzas.com/images/kardtrust/zero-apr-cards.webp,Existing article available. Emphasize responsible usage and payoff planning.
Credit Cards,No,no annual fee credit cards,"free credit cards, no fee cards, credit cards no cost",Best No Annual Fee Credit Cards Worth Keeping Forever,Analysis of credit cards with no annual fee that still offer valuable rewards and benefits for long-term wallet placement.,Comparational,MOFU,creditCards,"/personal-finance/no-annual-fee-credit-cards, /personal-finance/credit-card-types-benefits, /personal-finance/cashback-credit-cards",https://media.topfinanzas.com/images/kardtrust/no-fee-cards.webp,Existing article available. Focus on long-term value and credit building benefits.
Credit Cards,No,credit card interest rates,"APR explained, credit card APR, interest rate comparison",Understanding Credit Card Interest Rates: What You Need to Know,Educational guide explaining how credit card interest works including APR types, how interest is calculated, and strategies to minimize interest charges.,Informational,TOFU,creditCards,"/personal-finance/understanding-credit-card-interest-rates, /personal-finance/getting-out-of-debt, /personal-finance/top-credit-cards-0-intro-apr",https://media.topfinanzas.com/images/kardtrust/credit-card-interest.webp,Existing article available. Reference Federal Reserve rate data and CFPB resources.
Debt Management,Yes,debt management,"get out of debt, debt payoff, debt free",Debt Management: Your Complete Guide to Financial Freedom,"Comprehensive guide to managing and eliminating debt. Covers debt types, payoff strategies (avalanche vs snowball), negotiation tactics, and emotional aspects. Links to all debt cluster articles.",Informational,TOFU,debt,"/personal-finance/getting-out-of-debt, /personal-finance/the-emotional-side-of-debt, /personal-finance/personal-loans-debt-strategy",https://media.topfinanzas.com/images/kardtrust/debt-management-guide.webp,Pillar article. Reference CFPB debt resources and nonprofit credit counseling.
Debt Management,No,how to get out of debt,"debt free journey, pay off debt fast, debt elimination",How to Get Out of Debt: A Step-by-Step Action Plan,Practical step-by-step guide for eliminating debt with specific strategies and timelines for different debt levels and situations.,Informational,TOFU,debt,"/personal-finance/getting-out-of-debt, /personal-finance/the-emotional-side-of-debt, /personal-finance/stop-living-paycheck-to-paycheck",https://media.topfinanzas.com/images/kardtrust/get-out-of-debt.webp,Existing article available. Include debt payoff calculator concept and milestone celebrations.
Debt Management,No,debt consolidation,"consolidate debt, debt consolidation loans, combine debt",Debt Consolidation: Is It Right for You?,Guide to debt consolidation options including personal loans, balance transfer cards, and home equity with pros/cons analysis for different situations.,Informational,MOFU,debt,"/personal-finance/personal-loans-debt-strategy, /personal-finance/top-credit-cards-0-intro-apr, /personal-finance/best-personal-loans",https://media.topfinanzas.com/images/kardtrust/debt-consolidation.webp,Include eligibility factors and warning signs of predatory consolidation offers.
Debt Management,No,emotional side of debt,"debt stress, debt anxiety, mental health and debt",The Emotional Side of Debt: Managing Money Stress,Exploration of the psychological impact of debt with strategies for managing stress and maintaining motivation during debt payoff.,Informational,TOFU,debt,"/personal-finance/the-emotional-side-of-debt, /personal-finance/getting-out-of-debt, /personal-finance/psychology-of-spending",https://media.topfinanzas.com/images/kardtrust/emotional-debt.webp,Existing article available. Include mental health resources and support strategies.
Personal Loans,Yes,personal loans,"best personal loans, loan guide, borrowing money",Personal Loans: Everything You Need to Know Before You Borrow,"Comprehensive guide to personal loans: types, qualification requirements, comparing offers, use cases, and alternatives. Links to all personal loan cluster articles.",Informational,TOFU,loans,"/personal-finance/best-personal-loans, /personal-finance/tips-for-choosing-an-online-loan, /personal-finance/personal-loans-debt-strategy",https://media.topfinanzas.com/images/kardtrust/personal-loans-guide.webp,Pillar article. Reference CFPB loan resources. Cover secured vs unsecured loans.
Personal Loans,No,best personal loans,"top personal loans, personal loan comparison, loan rates",Best Personal Loans: Compare Top Lenders for 2026,Comparison of leading personal loan providers with analysis of rates, terms, fees, and ideal borrower profiles for each option.,Comparational,MOFU,loans,"/personal-finance/best-personal-loans, /personal-finance/tips-for-choosing-an-online-loan, /financial-solutions",https://media.topfinanzas.com/images/kardtrust/best-personal-loans.webp,Existing article available. Update with current rate environment and new lender options.
Personal Loans,No,online loans,"online personal loans, digital lenders, online loan application",Tips for Choosing an Online Loan: What to Look For,Guide to evaluating online loan offers with focus on identifying legitimate lenders and avoiding predatory practices.,Informational,TOFU,loans,"/personal-finance/tips-for-choosing-an-online-loan, /personal-finance/best-personal-loans, /financial-solutions",https://media.topfinanzas.com/images/kardtrust/online-loans.webp,Existing article available. Include verification checklist and red flags.
Personal Loans,No,personal loans for debt,"debt payoff loans, consolidation loans, loans to pay off debt",Using Personal Loans to Pay Off Debt: Strategy Guide,Strategic guide to using personal loans for debt consolidation with analysis of when it makes sense and how to maximize effectiveness.,Informational,MOFU,loans,"/personal-finance/personal-loans-debt-strategy, /personal-finance/getting-out-of-debt, /personal-finance/best-personal-loans",https://media.topfinanzas.com/images/kardtrust/loans-for-debt.webp,Existing article available. Include break-even analysis and payoff timeline planning.
Financial Goals,Yes,financial goals,"setting financial goals, money goals, financial planning",Financial Goals: How to Set and Achieve Your Money Milestones,"Complete guide to setting and achieving financial goals. Covers SMART goal framework, short vs long-term goals, tracking progress, and staying motivated. Links to all financial goals cluster articles.",Informational,TOFU,guide,"/personal-finance/setting-financial-goals, /personal-finance/automate-your-wealth, /personal-finance/5-minute-financial-health-check",https://media.topfinanzas.com/images/kardtrust/financial-goals-guide.webp,Pillar article. Include goal-setting worksheet concept and milestone tracking.
Financial Goals,No,emergency fund,"emergency savings, rainy day fund, financial safety net",Building an Emergency Fund: Your Financial Safety Net,Guide to creating and maintaining an emergency fund with recommended amounts and strategies for different income levels.,Informational,TOFU,guide,"/personal-finance/setting-financial-goals, /personal-finance/how-to-save-money-fast, /personal-finance/stop-living-paycheck-to-paycheck",https://media.topfinanzas.com/images/kardtrust/emergency-fund.webp,Reference general guidance of 3-6 months expenses. Include starter fund concept.
Financial Goals,No,automate finances,"automatic savings, automated investing, set and forget finances",How to Automate Your Finances and Build Wealth,Step-by-step guide to automating savings, bill payments, and investments for consistent financial progress without constant attention.,Informational,TOFU,guide,"/personal-finance/automate-your-wealth, /personal-finance/setting-financial-goals, /personal-finance/money-management-for-beginners",https://media.topfinanzas.com/images/kardtrust/automate-finances.webp,Existing article available. Include automation setup checklist and tool recommendations.
Financial Goals,No,financial health check,"money checkup, financial assessment, financial wellness",5-Minute Financial Health Check: Assess Your Money Situation,Quick assessment guide for evaluating current financial health with actionable next steps based on results.,Informational,TOFU,guide,"/personal-finance/5-minute-financial-health-check, /personal-finance/what-is-financial-health, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/financial-health-check.webp,Existing article available. Include simple scoring system and improvement priorities.
Income Growth,Yes,increase income,"make more money, income growth, earning more",Increase Your Income: Strategies for Earning More Money,"Comprehensive guide to growing income through career advancement, side hustles, passive income, and skill development. Links to all income growth cluster articles.",Informational,TOFU,guide,"/personal-finance/side-hustle-or-second-job, /personal-finance/how-to-ask-for-a-raise, /personal-finance",https://media.topfinanzas.com/images/kardtrust/increase-income-guide.webp,Pillar article. Cover both active and passive income strategies.
Income Growth,No,side hustle ideas,"side gig ideas, extra income, make money on the side",Side Hustle or Second Job: How to Choose the Right Income Booster,Analysis of side hustle vs traditional second job with decision framework based on time, skills, and financial goals.,Informational,TOFU,guide,"/personal-finance/side-hustle-or-second-job, /personal-finance/how-to-ask-for-a-raise, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/side-hustle.webp,Existing article available. Include time investment analysis and tax considerations.
Income Growth,No,how to ask for a raise,"salary negotiation, raise request, negotiate pay",How to Ask for a Raise (And Actually Get It),Practical guide to preparing for and executing a successful salary negotiation with scripts and timing strategies.,Informational,TOFU,guide,"/personal-finance/how-to-ask-for-a-raise, /personal-finance/side-hustle-or-second-job, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/ask-for-raise.webp,Existing article available. Include market research resources and negotiation templates.
Spending Psychology,Yes,spending psychology,"psychology of money, spending habits, money mindset",Spending Psychology: Understanding Your Money Habits,"Deep dive into the psychology behind spending decisions. Covers emotional spending, cognitive biases, habit formation, and strategies for healthier money mindset. Links to all psychology cluster articles.",Informational,TOFU,guide,"/personal-finance/psychology-of-spending, /personal-finance/ditching-impulse-buys-mindful-spending, /personal-finance/what-is-lifestyle-creep",https://media.topfinanzas.com/images/kardtrust/spending-psychology-guide.webp,Pillar article. Reference behavioral economics research and practical applications.
Spending Psychology,No,impulse buying,"stop impulse purchases, mindful spending, impulse control",Ditching Impulse Buys: A Guide to Mindful Spending,Strategies for recognizing and overcoming impulse buying triggers with practical techniques for more intentional purchasing.,Informational,TOFU,guide,"/personal-finance/ditching-impulse-buys-mindful-spending, /personal-finance/psychology-of-spending, /personal-finance/needs-vs-wants",https://media.topfinanzas.com/images/kardtrust/impulse-buying.webp,Existing article available. Include waiting period strategies and trigger identification.
Spending Psychology,No,lifestyle creep,"lifestyle inflation, spending creep, income lifestyle balance",What is Lifestyle Creep and How to Avoid It,Explanation of lifestyle creep phenomenon with strategies for maintaining savings rate as income grows.,Informational,TOFU,guide,"/personal-finance/what-is-lifestyle-creep, /personal-finance/setting-financial-goals, /personal-finance/automate-your-wealth",https://media.topfinanzas.com/images/kardtrust/lifestyle-creep.webp,Existing article available. Include income milestone planning and intentional upgrade strategies.
Life Transitions,Yes,financial life transitions,"money and life changes, financial planning milestones, life event finances",Financial Life Transitions: Managing Money Through Major Changes,"Guide to navigating financial aspects of major life transitions: marriage, divorce, home buying, career changes, and more. Links to all life transition cluster articles.",Informational,TOFU,guide,"/personal-finance/combine-finances-after-marriage-or-moving-in, /personal-finance/financial-uncoupling-breakup-guide, /personal-finance/hidden-costs-of-homeownership",https://media.topfinanzas.com/images/kardtrust/life-transitions-guide.webp,Pillar article. Cover common transitions with specific financial checklists.
Life Transitions,No,combine finances marriage,"merging finances, couples money management, joint finances",Combining Finances After Marriage or Moving In,Practical guide for couples merging finances with options analysis and communication strategies.,Informational,TOFU,guide,"/personal-finance/combine-finances-after-marriage-or-moving-in, /personal-finance/setting-financial-goals, /personal-finance/creating-a-budget-youll-actually-stick-to",https://media.topfinanzas.com/images/kardtrust/combine-finances.webp,Existing article available. Include joint vs separate vs hybrid approaches.
Life Transitions,No,financial breakup guide,"divorce finances, separation money, splitting finances",Financial Uncoupling: A Breakup Money Guide,Guide to managing financial aspects of relationship endings with practical steps for separating finances fairly.,Informational,TOFU,guide,"/personal-finance/financial-uncoupling-breakup-guide, /personal-finance/setting-financial-goals, /personal-finance/getting-out-of-debt",https://media.topfinanzas.com/images/kardtrust/financial-breakup.webp,Existing article available. Include checklist for account separation and credit protection.
Life Transitions,No,hidden costs homeownership,"true cost of owning a home, homeowner expenses, beyond mortgage",Hidden Costs of Homeownership: Beyond the Mortgage,Comprehensive overview of often-overlooked homeownership costs with budgeting guidance for new homeowners.,Informational,TOFU,guide,"/personal-finance/hidden-costs-of-homeownership, /personal-finance/setting-financial-goals, /personal-finance/creating-a-budget-youll-actually-stick-to",https://media.topfinanzas.com/images/kardtrust/homeownership-costs.webp,Existing article available. Include maintenance reserve recommendations and regional cost variations.
Financial Wellness,Yes,financial wellness,"financial health, money wellness, financial wellbeing",Financial Wellness: A Holistic Approach to Your Money Life,"Comprehensive guide to overall financial wellness covering financial health metrics, stress reduction, goal alignment, and sustainable habits. Links to all wellness cluster articles.",Informational,TOFU,guide,"/personal-finance/what-is-financial-health, /personal-finance/5-minute-financial-health-check, /personal-finance/the-emotional-side-of-debt",https://media.topfinanzas.com/images/kardtrust/financial-wellness-guide.webp,Pillar article. Include financial wellness assessment and improvement framework.
Financial Wellness,No,what is financial health,"financial health definition, measuring financial health, financial health indicators",What is Financial Health and How to Measure Yours,Educational guide explaining financial health concepts with key indicators and self-assessment framework.,Informational,TOFU,guide,"/personal-finance/what-is-financial-health, /personal-finance/5-minute-financial-health-check, /personal-finance/setting-financial-goals",https://media.topfinanzas.com/images/kardtrust/financial-health.webp,Existing article available. Reference CFPB financial wellbeing framework.
Financial Wellness,No,stop living paycheck to paycheck,"break paycheck cycle, financial stability, end paycheck to paycheck",How to Stop Living Paycheck to Paycheck,Actionable guide for breaking the paycheck-to-paycheck cycle with staged approach for different starting points.,Informational,TOFU,guide,"/personal-finance/stop-living-paycheck-to-paycheck, /personal-finance/creating-a-budget-youll-actually-stick-to, /personal-finance/how-to-save-money-fast",https://media.topfinanzas.com/images/kardtrust/paycheck-to-paycheck.webp,Existing article available. Include first month action plan and progress milestones.
Financial Wellness,No,inflation protection,"beat inflation, inflation hedge, protect money from inflation",How to Inflation-Proof Your Life: Practical Strategies,Strategies for protecting purchasing power during inflationary periods with both defensive and proactive approaches.,Informational,TOFU,guide,"/personal-finance/inflation-proof-your-life, /personal-finance/setting-financial-goals, /personal-finance/automate-your-wealth",https://media.topfinanzas.com/images/kardtrust/inflation-protection.webp,Existing article available. Include inflation impact calculator concept and TIPS explanation.